run_id,subject,chinFirst,chin,trial_index,option_topLeft,option_bottomLeft,option_topRight,option_bottomRight,window_width,window_height,window_width_max,window_height_max,window_diagonal,window_diagonal_max,time_elapsed,trial_duration_exact,recorded_at,rt,key_press,fps,LL_top,aLL,aSS,tSS,tLL,choseTop,choseLL,choiceNr,optionIndex,attributeIndex,trans_type_0,trans_type_1,trans_type_2,trans_type_3,trans_type_4,trans_type_6,trans_type_7,payneIndex,k,age,gender,ethnic,degree
16,473,1,1.0,217,4.0,2.0,180.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,553558,4490,2020-11-19 15:31:52,4483.950000008917,90.0,13.140311804008908,1,4.0,2.0,0,180.0,1.0,1,24.0,-0.45454545454545453,0.18181818181818182,16,2,1,3,0,0,0,-0.2,0.005555555555555556,1995,male,caucasian,college
16,473,1,1.0,220,5.0,3.5,365.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,559062,2429,2020-11-19 15:31:52,2425.279999995837,90.0,20.172910662824208,1,5.0,3.5,0,365.0,1.0,1,25.0,0.0,0.3,15,0,0,1,1,2,1,-0.5,0.0011741682974559689,1995,male,caucasian,college
16,473,1,1.0,223,5.0,4.5,15.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,567214,5020,2020-11-19 15:31:52,5013.200000001234,90.0,12.350597609561753,1,5.0,4.5,0,15.0,1.0,1,26.0,-0.07692307692307693,-0.07692307692307693,16,2,2,1,1,3,1,-0.14285714285714285,0.00740740740740741,1995,male,caucasian,college
16,473,1,1.0,226,4.5,3.5,15.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,573964,3675,2020-11-19 15:31:52,3670.314999995753,90.0,19.31972789115646,1,4.5,3.5,0,15.0,1.0,1,27.0,-0.2972972972972973,0.13513513513513514,29,3,0,1,1,3,0,0.0,0.019047619047619053,1995,male,caucasian,college
16,473,1,1.0,229,5.0,1.0,365.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,579524,2511,2020-11-19 15:31:52,2506.249999991269,90.0,18.319394663480686,1,5.0,1.0,0,365.0,1.0,1,28.0,-0.04,-0.28,18,2,0,3,1,1,0,-0.14285714285714285,0.010958904109589041,1995,male,caucasian,college
16,473,1,1.0,232,2.0,5.0,0.0,90.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,584629,1968,2020-11-19 15:31:52,1964.254999998957,66.0,11.178861788617887,0,5.0,2.0,0,90.0,0.0,0,29.0,-0.2,0.6,8,0,0,0,1,0,1,1.0,0.016666666666666666,1995,male,caucasian,college
16,473,1,1.0,235,2.5,4.5,0.0,180.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,589450,1703,2020-11-19 15:31:52,1700.1149999996414,66.0,17.028772753963594,0,4.5,2.5,0,180.0,0.0,0,30.0,-0.2,0.3,17,0,1,0,1,0,1,1.0,0.0044444444444444444,1995,male,caucasian,college
16,473,1,1.0,238,5.0,4.0,180.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,594192,1643,2020-11-19 15:31:52,1638.359999997192,90.0,13.99878271454656,1,5.0,4.0,0,180.0,1.0,1,31.0,-0.3333333333333333,0.1111111111111111,7,1,1,0,0,0,0,1.0,0.001388888888888889,1995,male,caucasian,college
16,473,1,1.0,241,4.5,2.5,365.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,601247,3951,2020-11-19 15:31:52,3942.725000000792,90.0,12.40192356365477,1,4.5,2.5,0,365.0,1.0,1,32.0,0.2,1.0,13,0,0,2,0,0,0,-1.0,0.0021917808219178085,1995,male,caucasian,college
16,473,1,1.0,244,4.0,1.0,365.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,606125,1795,2020-11-19 15:31:52,1789.919999995618,90.0,12.256267409470752,1,4.0,1.0,0,365.0,1.0,1,33.0,-0.4,0.4,7,1,1,1,0,0,0,0.0,0.00821917808219178,1995,male,caucasian,college
16,473,1,1.0,247,5.0,4.5,30.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,611283,2018,2020-11-19 15:31:52,1936.615000013262,90.0,13.37958374628345,1,5.0,4.5,0,30.0,1.0,1,34.0,-0.6,0.3,17,1,1,1,0,0,0,0.0,0.003703703703703705,1995,male,caucasian,college
16,473,1,1.0,250,4.5,2.0,180.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,616655,2180,2020-11-19 15:31:52,2174.935000002733,90.0,14.678899082568808,1,4.5,2.0,0,180.0,1.0,1,35.0,-0.8095238095238095,0.3333333333333333,17,2,0,2,0,0,0,0.0,0.006944444444444444,1995,male,caucasian,college
16,473,1,1.0,253,5.0,3.0,90.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,621615,1885,2020-11-19 15:31:52,1819.6749999915478,90.0,11.140583554376658,1,5.0,3.0,0,90.0,1.0,1,36.0,0.1111111111111111,0.3333333333333333,6,0,0,1,1,1,0,-0.3333333333333333,0.0074074074074074086,1995,male,caucasian,college
16,473,1,1.0,256,5.0,3.0,180.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,627897,3106,2020-11-19 15:31:52,3060.7499999896395,90.0,19.961365099806827,1,5.0,3.0,0,180.0,1.0,1,37.0,-0.42857142857142855,0.02857142857142857,29,2,2,2,0,0,0,0.0,0.0037037037037037043,1995,male,caucasian,college
