run_id,subject,chinFirst,trial_index,index,task_nr,chin,x_pos,y_pos,px,py,x,y,fps,window_width_max,window_height_max,offset,offset_perc
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,350,301,,1280.0,720.0,110.98198051936178,15.41416396102247
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,292,357,,1280.0,720.0,36.124783736376884,5.01733107449679
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,431,312,,1280.0,720.0,181.46349495146399,25.20326318770333
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,365,249,,1280.0,720.0,155.56991997169632,21.606933329402267
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,417,306,,1280.0,720.0,169.81460479004744,23.58536177639548
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,461,320,,1280.0,720.0,208.86598574205422,29.00916468639642
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,415,314,,1280.0,720.0,165.5203914930121,22.988943262918347
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,340,240,,1280.0,720.0,146.47866738880444,20.344259359556172
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,300,373,,1280.0,720.0,45.880278987817846,6.372260970530257
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,386,361,,1280.0,720.0,130.00384609695206,18.056089735687785
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,360,567,,1280.0,720.0,231.65707414193074,32.174593630823715
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,566,580,,1280.0,720.0,380.13155617496426,52.79604946874504
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,393,591,,1280.0,720.0,268.5702887513807,37.30142899324732
16.0,473.0,1.0,111.0,111,1.0,1.0,0.5,0.5,640.0,360.0,599,252,,1280.0,720.0,115.52056094046635,16.04452235284255
16.0,473.0,1.0,111.0,111,1.0,1.0,0.5,0.5,640.0,360.0,490,340,,1280.0,720.0,151.32745950421557,21.01770270891883
16.0,473.0,1.0,111.0,111,1.0,1.0,0.5,0.5,640.0,360.0,479,266,,1280.0,720.0,186.43229333996834,25.893374074995602
16.0,473.0,1.0,111.0,111,1.0,1.0,0.5,0.5,640.0,360.0,561,386,,1280.0,720.0,83.16850365372699,11.551181063017637
16.0,473.0,1.0,111.0,111,1.0,1.0,0.5,0.5,640.0,360.0,652,445,,1280.0,720.0,85.84287972802403,11.922622184447782
16.0,473.0,1.0,111.0,111,1.0,1.0,0.5,0.5,640.0,360.0,548,583,,1280.0,720.0,241.23225323326895,33.5044796157318
16.0,473.0,1.0,111.0,111,1.0,1.0,0.5,0.5,640.0,360.0,796,537,,1280.0,720.0,235.93431289238112,32.76865456838627
16.0,473.0,1.0,111.0,111,1.0,1.0,0.5,0.5,640.0,360.0,673,542,,1280.0,720.0,184.967564724197,25.68993954502736
16.0,473.0,1.0,111.0,111,1.0,1.0,0.5,0.5,640.0,360.0,668,464,,1280.0,720.0,107.70329614269008,14.958791130929178
16.0,473.0,1.0,111.0,111,1.0,1.0,0.5,0.5,640.0,360.0,974,434,,1280.0,720.0,342.09940075948685,47.51380566103985
16.0,473.0,1.0,111.0,111,1.0,1.0,0.5,0.5,640.0,360.0,646,571,,1280.0,720.0,211.0852908186641,29.317401502592237
16.0,473.0,1.0,111.0,111,1.0,1.0,0.5,0.5,640.0,360.0,594,442,,1280.0,720.0,94.02127418834527,13.058510303936844
